"hospital_name","hospital_intro","department_name","department_intro","doctor_name","doctor_department","doctor_intro","doctor_schedule"
"中日友好医院","","呼吸与危重症医学科","","王辰","呼吸与危重症医学科","",""
"中日友好医院","","中医妇科","","许润三","中医妇科","",""
"中日友好医院","","呼吸与危重症医学科","","曹彬","呼吸与危重症医学科","",""
"中日友好医院","","皮肤科","","崔勇","皮肤科","",""
"中日友好医院","","中西医结合心内科","","史载祥","中西医结合心内科","","周一上午,地点:特需门诊5诊室 国疗门诊:时间周五上午,地点:国"
"中日友好医院","","中医风湿病科","","阎小萍","中医风湿病科","","周五上午(中日友好医院本部B栋四层中医特需门诊) 国疗门诊 :周"
"中日友好医院","","中西医结合糖尿病科","","李平","中西医结合糖尿病科","",""
"中日友好医院","","","","金明","","","周一上午(眼科门诊) 国疗特需:周二上午(国际医疗部) 神经眼科"
"中日友好医院","","皮肤科","","白彦萍","皮肤科","",""
"中日友好医院","","中西医结合肿瘤内科","","贾立群","中西医结合肿瘤内科","",""
"中日友好医院","","中医风湿病科","","陶庆文","中医风湿病科","","周一下午、周四上午( M栋二层) 国疗 门诊: 每周四下午(国际"
"中日友好医院","","心脏·血管外科","","刘鹏","心脏·血管外科","",""
"中日友好医院","","呼吸与危重症医学科","","代华平","呼吸与危重症医学科","",""
"中日友好医院","","呼吸与危重症医学科","","林江涛","呼吸与危重症医学科","",""
"中日友好医院","","呼吸与危重症医学科","","詹庆元","呼吸与危重症医学科","",""
"中日友好医院","","戒烟中心","","肖丹","戒烟中心","",""
"中日友好医院","","呼吸与危重症医学科","","翟振国","呼吸与危重症医学科","",""
"中日友好医院","","呼吸与危重症医学科","","杨汀","呼吸与危重症医学科","",""
"中日友好医院","","检验科输血科","","曹永彤","检验科输血科","",""
"中日友好医院","","中西医结合肿瘤内科","","程志强","中西医结合肿瘤内科","",""
"中日友好医院","","中西医结合肿瘤内科","","崔慧娟","中西医结合肿瘤内科","",""
"中日友好医院","","疼痛科","","樊碧发","疼痛科","",""
"中日友好医院","","骨科·关节外科","","郭万首","骨科·关节外科","",""
"中日友好医院","","呼吸与危重症医学科","","侯刚","呼吸与危重症医学科","",""
"中日友好医院","","中西医结合心脏内科","","黄力","中西医结合心脏内科","","周二上午(中日友好医院B栋2层) 特需门诊:周二下午(中日友好医"
"中日友好医院","","肾病科","","李文歌","肾病科","",""
"中日友好医院","","中西医结合心脏内科","","李宪伦","中西医结合心脏内科","",""
"中日友好医院","","中西医结合肺病科","","李友林","中西医结合肺病科","","周二、五上午(B栋3层中医特需门诊) 出诊信息 主任医师 副主任"
"中日友好医院","","妇产科(含国际部妇产科病区","","凌斌","妇产科(含国际部妇产科病区","",""
"中日友好医院","","","","刘保兴","","采用经方治疗射精过快、勃起功能障碍、男性不育、前列腺炎、前列腺增生、精索静脉曲张、慢性睾丸疼痛。临床研究方向为中医药治疗男性不育的机理和临床研究。 个人简介 刘保兴 ,主任医师,教授 , 研究生学历 , 冯世纶经方男科团队成员。 院外任职: 兼任中华中医药学会男科分会常委,北京中医 药 学会男科专业委员会 副主任委员、 北京中西医结合学会男科专业委员会常委。 担任研究生导师情况: 担任北京中医药大学 博士 研究 生导师 。 从事中医临床工作 20余年,师从国医大师王琦院士和首都国医名师冯世纶教授。、 科研成果:承担 5 项国家自然科学基金。 论文发表情况:以第一作者和通讯作者发表学术论文 40篇。","周一、周三全天(门诊楼三层男科门诊) ,周 四 上午 (门诊楼"
"中日友好医院","","胸外科","","刘德若","胸外科","",""
"中日友好医院","","放射诊断科","","马国林","放射诊断科","",""
"中日友好医院","","普外科·代谢减重中心","","孟化","普外科·代谢减重中心","",""
"中日友好医院","","神经科(含北区神经科","","彭丹涛","神经科(含北区神经科","","周二上午出特需门诊"
"中日友好医院","","中西医结合肿瘤内科","","谭煌英","中西医结合肿瘤内科","",""
"中日友好医院","","骨科·脊柱外科","","谭明生","骨科·脊柱外科","",""
"中日友好医院","","风湿免疫科","","王国春","风湿免疫科","",""
"中日友好医院","","骨科·关节外科","","王卫国","骨科·关节外科","",""
"中日友好医院","","心脏科(含北区心脏科","","王勇","心脏科(含北区心脏科","",""
"中日友好医院","","中医外科","","夏仲元","中医外科","","周三全天、周四上午(中医外科门诊)特需门诊:周五上午(中医外科门"
"中日友好医院","","放射诊断科","","谢晟","放射诊断科","",""
"中日友好医院","","口腔医学中心","","徐宝华","口腔医学中心","",""
"中日友好医院","","普外科·肝胆胰外科","","杨志英","普外科·肝胆胰外科","",""
"中日友好医院","","消化科（含内镜中心","","姚树坤","消化科（含内镜中心","","周一、周二、 周四 和周五 上午国际部门诊 317 诊室 , 周"
"中日友好医院","","神经外科","","于炎冰","神经外科","",""
"中日友好医院","","内分泌科","","张波","内分泌科","",""
"中日友好医院","","泌尿外科","","张冠","泌尿外科","",""
"中日友好医院","","急诊科","","张国强","急诊科","",""
"中日友好医院","","神经外科","","张黎","神经外科","",""
"中日友好医院","","","","张纾难","","张纾难,二级教授,博士生导师,博士后 合作导师 ,全国第七批名老中医师承指导老师。 师从国医大师晁恩祥、首都国医名师姜良铎。 院内职务:现任国家呼吸临床研究中心副主任、党支部书记兼中医内科教研室主任。 院外任职:兼任世界中医药学会联合会呼吸病分会副会长,中华中医药学会急诊分会副主委,海峡两岸医药卫生交流协会中医药专委会主委;《中国全科医学》、《中国中医急症》、《环球中医药》、《世界中医药》等杂志编委。 论文发表情况:发表专业论文 200余篇,主编专著6部。 教学情况:已培养海内外硕、博士及徒弟 30余位。","周三下午(特需),周五上午(国际部) 出诊信息 主任医师 副主任"
"中日友好医院","","皮肤科","","张晓艳","皮肤科","",""
"中日友好医院","","手术麻醉科","","赵晶","手术麻醉科","",""
"中日友好医院","","病理科","","钟定荣","病理科","",""
"中日友好医院","","心脏科(含北区心脏科","","郑金刚","心脏科(含北区心脏科","",""
"中日友好医院","","放射肿瘤科","","朱广迎","放射肿瘤科","","周一下午、周四上午,国际医疗部:周四下午 出诊信息 主任医师 副"
