id,name,scientific_name,category,hall_id,description,conservation_status,highlight,svg_offset_x
a01,淮南虫,Huainanella,古生物化石,hall_a,"发现于淮南地区的埃迪卡拉纪动物群代表，距今约 6 亿年，是地球上最早的多细胞动物之一，为本馆最具地方特色的镇馆之宝",——,1,20
a02,三叶虫化石,Trilobita,古生物化石,hall_a,"古生代海洋节肢动物化石，种类繁多，是地质学教学的经典标本；本馆展出多件完整度高、细节清晰的寒武纪至二叠纪标本",——,1,60
a03,菊石化石,Ammonoidea,古生物化石,hall_a,"中生代海洋头足类动物化石，螺旋形壳体纹路精美；展品包含多种形态的菊石，是了解生物进化的重要材料",——,0,100
a04,恐龙蛋化石（模型）,,古生物化石,hall_a,"白垩纪恐龙蛋窝模型，还原恐龙繁殖场景；配套展板介绍恐龙灭绝假说与鸟类起源",——,0,140
a05,硅化木,,古生物化石,hall_a,"中生代树木化石，木质纤维被二氧化硅交代形成，年轮清晰可见；展品来自安徽本地",——,1,180
b01,银杏标本,Ginkgo biloba,裸子植物,hall_b,"银杏是现存最古老的裸子植物之一，被称为『活化石』；标本展示其扇形叶片与种子结构",——,0,20
b02,红豆杉标本,Taxus chinensis,裸子植物,hall_b,"国家一级保护植物，提取物紫杉醇具有抗癌活性；本馆展示其枝叶与种子标本",国家一级,1,60
b03,石斛标本,Dendrobium,被子植物,hall_b,"药用植物展区重点标本，铁皮石斛等品种的干燥茎叶与花标本；附文字说明药用价值与栽培技术",——,0,100
b04,淮南堇菜,Viola huainanensis,被子植物,hall_b,"淮南地区特有种，模式标本采自淮南八公山区域；本馆收藏模式标本及其生境照片",地方特有种,1,140
b05,灵芝标本,Ganoderma lucidum,菌类,hall_b,"大型真菌子实体标本，展示不同生长阶段形态；附灵芝孢子粉显微照片与药理研究简介",——,0,180
b06,发菜标本,Nostoc flagelliforme,藻类,hall_b,"蓝藻门念珠藻属，因谐音『发财』而备受关注；展板介绍其生态价值及采集对草原生态的破坏",国家一级保护（采集管制）,0,220
c01,金斑喙凤蝶,Teinopalpus aureus,昆虫,hall_c,"国家一级保护动物，中国特有种，被誉为『蝶中皇后』；本馆展出雌雄各一，翅面金绿色斑纹极美",国家一级,1,20
c02,枯叶蛱蝶,Kallima inachus,昆虫,hall_c,"拟态大师，翅反面酷似枯叶，翅正面则为亮丽的蓝紫色；蝴蝶标本墙的明星展品",——,1,60
c03,独角仙,Trypoxylus dichotomus,昆虫,hall_c,"大型甲虫代表，雄虫头角与胸角发达；配套展示幼虫至成虫的完整生活史标本",——,0,100
c04,中华蜜蜂工蜂社会展箱,Apis cerana,昆虫,hall_c,"透明展箱展示蜂巢结构与工蜂、雄蜂、蜂王的分工；是国内昆虫展厅的经典互动展品",——,0,140
